source_chunk_id,insurer_code,coverage_code,raw_name,amount_value,amount_text,new_chunk_id,status
6260,DB,A1300,상해사망,100000,10만원,,dry_run
6260,DB,A1100,질병사망,100000,10만원,,dry_run
6260,DB,A5300,상해수술비(동일사고당1회지급),100000,10만원,,dry_run
6260,DB,A4301_1,골절진단비(치아제외),100000,10만원,,dry_run
6260,DB,A5200,암수술비(유사암제외)(최초1회한),300000,30만원,,dry_run
6260,DB,A5298_001,유사암수술비,300000,30만원,,dry_run
6260,DB,A9617_1,항암방사선약물치료비(유사암포함),20000,2만원,,dry_run
6260,DB,A9640_1,혈전용해치료비,100000,10만원,,dry_run
6260,DB,A5100,질병수술비(매회지급),100000,10만원,,dry_run
6270,DB,A1300,상해사망,100000,10만원,,dry_run
6270,DB,A1100,질병사망,100000,10만원,,dry_run
6270,DB,A5300,상해수술비(동일사고당1회지급),100000,10만원,,dry_run
6270,DB,A4301_1,골절진단비(치아제외),100000,10만원,,dry_run
6270,DB,A5200,암수술비(유사암제외)(최초1회한),300000,30만원,,dry_run
6270,DB,A5298_001,유사암수술비,300000,30만원,,dry_run
6270,DB,A9617_1,항암방사선약물치료비(유사암포함),20000,2만원,,dry_run
6270,DB,A9640_1,혈전용해치료비,100000,10만원,,dry_run
6270,DB,A5100,질병수술비(매회지급),100000,10만원,,dry_run
6292,DB,A5100,질병수술비(상급종합병원)(동일질병당1회지급),1000000,100만원,,dry_run
6292,DB,A5100,질병수술비(상급종합병원)(매회지급),1000000,100만원,,dry_run
6301,DB,A4299_1,암진단비,1000000,100만원,,dry_run
6301,DB,A4299_1,암진단비,1000000,100만원,,dry_run
