chunk_id,insurer_id,document_id,page_start,old_synthetic_type,old_synthetic_method,old_amount_method,needs_synthetic_type,needs_synthetic_method,needs_amount_method,skip_reason
10953,8,22,4,,split_line_v1,v1.6.3_split,True,True,True,
10954,8,22,4,,split_line_v1,v1.6.3_split,True,True,True,
10955,8,22,4,,split_line_v1,v1.6.3_split,True,True,True,
10956,8,22,4,,split_line_v1,v1.6.3_split,True,True,True,
10957,8,22,4,,split_line_v1,v1.6.3_split,True,True,True,
10958,8,22,4,,split_line_v1,v1.6.3_split,True,True,True,
10959,8,22,4,,split_line_v1,v1.6.3_split,True,True,True,
10960,8,22,4,,split_line_v1,v1.6.3_split,True,True,True,
10961,8,22,4,,split_line_v1,v1.6.3_split,True,True,True,
10962,8,23,4,,split_line_v1,v1.6.3_split,True,True,True,
10963,8,23,4,,split_line_v1,v1.6.3_split,True,True,True,
10964,8,23,4,,split_line_v1,v1.6.3_split,True,True,True,
10965,8,23,4,,split_line_v1,v1.6.3_split,True,True,True,
10966,8,23,4,,split_line_v1,v1.6.3_split,True,True,True,
10967,8,23,4,,split_line_v1,v1.6.3_split,True,True,True,
10968,8,23,4,,split_line_v1,v1.6.3_split,True,True,True,
10969,8,23,4,,split_line_v1,v1.6.3_split,True,True,True,
10970,8,23,4,,split_line_v1,v1.6.3_split,True,True,True,
10971,8,24,31,,split_line_v1,v1.6.3_split,True,True,True,
10972,8,24,44,,split_line_v1,v1.6.3_split,True,True,True,
10973,8,24,46,,split_line_v1,v1.6.3_split,True,True,True,
10974,8,25,39,,split_line_v1,v1.6.3_split,True,True,True,
10975,8,25,98,,split_line_v1,v1.6.3_split,True,True,True,
10976,8,25,103,,split_line_v1,v1.6.3_split,True,True,True,
10977,8,25,103,,split_line_v1,v1.6.3_split,True,True,True,
10978,8,25,103,,split_line_v1,v1.6.3_split,True,True,True,
10979,8,25,103,,split_line_v1,v1.6.3_split,True,True,True,
10980,8,25,103,,split_line_v1,v1.6.3_split,True,True,True,
10981,8,25,103,,split_line_v1,v1.6.3_split,True,True,True,
10982,8,25,105,,split_line_v1,v1.6.3_split,True,True,True,
10983,8,25,105,,split_line_v1,v1.6.3_split,True,True,True,
10984,8,25,105,,split_line_v1,v1.6.3_split,True,True,True,
10985,8,25,105,,split_line_v1,v1.6.3_split,True,True,True,
10986,8,25,107,,split_line_v1,v1.6.3_split,True,True,True,
10987,8,25,107,,split_line_v1,v1.6.3_split,True,True,True,
10988,8,25,107,,split_line_v1,v1.6.3_split,True,True,True,
10989,8,25,107,,split_line_v1,v1.6.3_split,True,True,True,
10990,8,25,110,,split_line_v1,v1.6.3_split,True,True,True,
10991,8,25,110,,split_line_v1,v1.6.3_split,True,True,True,
10992,8,25,110,,split_line_v1,v1.6.3_split,True,True,True,
10993,8,25,110,,split_line_v1,v1.6.3_split,True,True,True,
10994,8,25,112,,split_line_v1,v1.6.3_split,True,True,True,
10995,8,25,112,,split_line_v1,v1.6.3_split,True,True,True,
10996,8,25,112,,split_line_v1,v1.6.3_split,True,True,True,
10997,8,25,112,,split_line_v1,v1.6.3_split,True,True,True,
10998,2,27,3,,split_line_v1,v1.6.3_split,True,True,True,
10999,2,27,3,,split_line_v1,v1.6.3_split,True,True,True,
11000,2,27,3,,split_line_v1,v1.6.3_split,True,True,True,
11001,2,27,3,,split_line_v1,v1.6.3_split,True,True,True,
11002,2,27,3,,split_line_v1,v1.6.3_split,True,True,True,
11003,2,27,3,,split_line_v1,v1.6.3_split,True,True,True,
11004,2,27,3,,split_line_v1,v1.6.3_split,True,True,True,
11005,2,27,3,,split_line_v1,v1.6.3_split,True,True,True,
11006,2,27,3,,split_line_v1,v1.6.3_split,True,True,True,
11007,2,27,3,,split_line_v1,v1.6.3_split,True,True,True,
11008,2,27,3,,split_line_v1,v1.6.3_split,True,True,True,
11009,2,27,6,,split_line_v1,v1.6.3_split,True,True,True,
11010,2,27,6,,split_line_v1,v1.6.3_split,True,True,True,
11011,2,27,6,,split_line_v1,v1.6.3_split,True,True,True,
11012,2,27,7,,split_line_v1,v1.6.3_split,True,True,True,
11013,2,27,7,,split_line_v1,v1.6.3_split,True,True,True,
11014,2,27,10,,split_line_v1,v1.6.3_split,True,True,True,
11015,2,27,10,,split_line_v1,v1.6.3_split,True,True,True,
11016,2,27,10,,split_line_v1,v1.6.3_split,True,True,True,
11017,2,27,10,,split_line_v1,v1.6.3_split,True,True,True,
11018,2,28,46,,split_line_v1,v1.6.3_split,True,True,True,
11019,2,28,46,,split_line_v1,v1.6.3_split,True,True,True,
11020,2,28,46,,split_line_v1,v1.6.3_split,True,True,True,
11021,2,28,46,,split_line_v1,v1.6.3_split,True,True,True,
11022,2,29,24,,split_line_v1,v1.6.3_split,True,True,True,
11023,2,29,29,,split_line_v1,v1.6.3_split,True,True,True,
11024,2,29,29,,split_line_v1,v1.6.3_split,True,True,True,
11025,2,29,29,,split_line_v1,v1.6.3_split,True,True,True,
11026,2,29,94,,split_line_v1,v1.6.3_split,True,True,True,
